,City,Lat,Lng,Temp F,Max Temp F,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.33,46.99,46.99,93,100,3.0,NZ,1599929950
1,carnarvon,-24.87,113.63,64.4,64.4,72,13,17.22,AU,1599929951
2,muros,42.78,-9.06,82.99,82.99,51,65,1.99,ES,1599929951
3,esperance,-33.87,121.9,44.6,44.6,100,1,6.93,AU,1599929951
4,hermanus,-34.42,19.23,62.01,62.01,78,0,11.18,ZA,1599929952
5,college,64.86,-147.8,37.98,39.99,86,75,1.7,US,1599929952
6,punta arenas,-53.15,-70.92,41.0,41.0,66,75,10.29,CL,1599929952
7,puerto ayora,-0.74,-90.35,71.33,75.2,64,20,9.17,EC,1599929953
8,pringsewu,-5.36,104.97,74.75,74.75,92,96,4.52,ID,1599929786
9,hobart,-42.88,147.33,42.51,45.0,87,62,8.05,AU,1599929834
10,souillac,-20.52,57.52,71.6,71.6,88,40,6.93,MU,1599929953
11,albany,42.6,-73.97,67.75,70.0,65,22,6.06,US,1599929953
12,kaitangata,-46.28,169.85,51.01,51.01,80,100,5.99,NZ,1599929954
13,port blair,11.67,92.75,82.22,82.22,79,100,12.41,IN,1599929954
14,arraial do cabo,-22.97,-42.03,86.77,87.8,58,23,16.11,BR,1599929954
15,qarayeri,40.79,46.31,78.8,78.8,54,20,6.93,AZ,1599929955
16,eyl,7.98,49.82,79.54,79.54,75,85,16.91,SO,1599929955
17,sortland,68.69,15.42,46.65,50.0,81,75,16.11,NO,1599929955
18,bonthe,7.53,-12.51,78.87,78.87,85,100,9.4,SL,1599929955
19,iqaluit,63.75,-68.51,42.8,42.8,70,75,3.36,CA,1599929956
20,sultanpur,26.27,82.07,85.32,85.32,66,97,3.87,IN,1599929956
21,yar-sale,66.83,70.83,52.84,52.84,79,90,0.85,RU,1599929956
22,kapaa,22.08,-159.32,72.25,75.2,88,90,9.17,US,1599929957
23,rocha,-34.48,-54.33,59.94,59.94,45,52,6.44,UY,1599929957
24,puerto suarez,-18.95,-57.8,102.2,102.2,21,0,8.05,BO,1599929957
25,lavrentiya,65.58,-171.0,39.4,39.4,84,13,0.78,RU,1599929958
26,gorontalo,0.54,123.06,75.2,75.2,88,29,3.29,ID,1599929958
27,aden,12.78,45.04,91.54,91.54,62,4,12.46,YE,1599929680
28,ouahigouya,13.58,-2.42,95.74,95.74,34,64,7.96,BF,1599929959
29,mataura,-46.19,168.86,46.99,46.99,93,100,3.0,NZ,1599929959
30,ancud,-41.87,-73.82,48.99,48.99,83,25,5.01,CL,1599929959
31,tahta,26.77,31.5,91.24,91.24,17,0,9.46,EG,1599929959
32,avarua,-21.21,-159.78,77.0,77.0,88,14,8.05,CK,1599929960
33,acarau,-2.89,-40.12,87.93,87.93,48,42,20.09,BR,1599929960
34,chokurdakh,70.63,147.92,43.07,43.07,76,21,3.62,RU,1599929960
35,dicabisagan,17.08,122.42,79.09,79.09,79,97,2.64,PH,1599929961
36,port alfred,-33.59,26.89,72.05,72.05,58,36,12.93,ZA,1599929961
37,rikitea,-23.12,-134.97,72.77,72.77,88,39,8.32,PF,1599929961
38,ushuaia,-54.8,-68.3,39.2,39.2,80,40,5.82,AR,1599929961
39,quesnel,53.0,-122.5,48.2,48.2,100,90,2.24,CA,1599929869
40,lompoc,34.64,-120.46,52.27,53.6,100,90,6.38,US,1599929962
41,port elizabeth,-33.92,25.57,66.2,66.2,88,56,8.05,ZA,1599929701
42,butaritari,3.07,172.79,81.32,81.32,74,100,13.33,KI,1599929962
43,nelson bay,-32.72,152.15,52.23,57.0,100,7,8.48,AU,1599929963
44,kadhan,24.48,68.99,88.23,88.23,55,97,6.13,PK,1599929963
45,torbay,47.67,-52.73,56.55,59.0,50,20,9.17,CA,1599929963
46,faanui,-16.48,-151.75,77.74,77.74,79,69,14.29,PF,1599929964
47,castro,-24.79,-50.01,86.04,86.04,30,5,10.18,BR,1599929965
48,nome,64.5,-165.41,41.56,42.8,87,75,4.72,US,1599929966
49,bahia blanca,-38.72,-62.27,67.32,67.32,26,0,18.16,AR,1599929966
50,san jeronimo,-11.95,-75.28,61.43,61.43,39,88,2.91,PE,1599929967
51,am timan,11.03,20.28,76.08,76.08,89,85,3.27,TD,1599929967
52,palmas bellas,9.23,-80.09,82.0,82.0,78,63,8.01,PA,1599929967
53,waingapu,-9.66,120.26,74.16,74.16,84,2,8.14,ID,1599929968
54,atuona,-9.8,-139.03,78.31,78.31,72,96,20.45,PF,1599929969
55,luderitz,-26.65,15.16,59.52,59.52,86,39,4.56,NA,1599929969
56,alta floresta,-9.88,-56.09,106.68,106.68,10,11,5.93,BR,1599929969
57,ilulissat,69.22,-51.1,33.8,33.8,74,75,4.7,GL,1599929969
58,tiksi,71.69,128.87,43.32,43.32,81,34,6.93,RU,1599929970
59,cockburn town,21.46,-71.14,86.0,86.0,66,40,8.05,TC,1599929970
60,qaanaaq,77.48,-69.36,28.62,28.62,87,100,11.81,GL,1599929970
61,bambous virieux,-20.34,57.76,70.36,71.6,88,40,6.93,MU,1599929705
62,puri,19.8,85.85,84.2,84.2,89,20,3.36,IN,1599929720
63,jinxiang,22.86,115.7,80.01,80.01,87,91,8.39,CN,1599929971
64,bredasdorp,-34.53,20.04,68.0,68.0,45,0,12.75,ZA,1599929971
65,koubia,11.58,-11.9,74.41,74.41,92,98,3.78,GN,1599929972
66,bilma,18.69,12.92,100.85,100.85,9,3,7.49,NE,1599929972
67,puerto maldonado,-12.6,-69.18,93.2,93.2,56,37,8.05,PE,1599929972
68,hilo,19.73,-155.09,66.81,71.6,73,1,5.82,US,1599929973
69,kungurtug,50.6,97.52,32.61,32.61,94,98,2.42,RU,1599929973
70,broken hill,-31.95,141.43,68.0,68.0,37,100,5.82,AU,1599929973
71,scarborough,54.28,-0.4,60.75,61.0,61,100,4.0,GB,1599929974
72,provideniya,64.38,-173.3,39.74,39.74,81,100,8.86,RU,1599929974
73,margate,51.38,1.39,67.39,70.0,53,95,10.29,GB,1599929974
74,nadbai,27.23,77.2,88.65,88.65,44,13,4.09,IN,1599929975
75,praia,14.92,-23.51,81.14,81.14,79,100,12.39,CV,1599929975
76,busselton,-33.65,115.33,47.32,50.0,76,45,3.49,AU,1599929975
77,tuatapere,-46.13,167.68,46.99,46.99,93,100,3.0,NZ,1599929976
78,katsuura,35.13,140.3,73.33,73.99,88,75,12.75,JP,1599929976
79,chaiyaphum,15.75,102.0,79.97,79.97,79,39,4.63,TH,1599929977
80,oranjemund,-28.55,16.43,60.6,60.6,84,3,11.92,NA,1599929977
81,pangai,-19.8,-174.35,71.2,71.2,78,63,18.32,TO,1599929977
82,jamestown,42.1,-79.24,69.49,71.01,68,1,9.17,US,1599929977
83,husavik,66.04,-17.34,44.6,44.6,75,75,17.22,IS,1599929978
84,thompson,55.74,-97.86,42.8,42.8,81,75,16.11,CA,1599929978
85,saint-joseph,-21.37,55.62,64.71,71.6,78,38,11.41,RE,1599929978
86,port-gentil,-0.72,8.78,80.6,80.6,78,40,16.22,GA,1599929979
87,kuytun,54.34,101.5,45.61,45.61,95,100,13.31,RU,1599929979
88,tsumeb,-19.23,17.72,70.52,70.52,19,0,6.35,NA,1599929979
89,pemangkat,1.17,108.97,77.23,77.23,86,99,3.33,ID,1599929979
90,abashiri,44.02,144.27,54.0,54.0,69,100,5.01,JP,1599929980
91,avera,33.19,-82.53,85.66,86.0,79,75,11.41,US,1599929980
92,tura,25.52,90.22,75.34,75.34,85,100,4.41,IN,1599929980
93,dolores,-36.31,-57.68,62.04,62.04,47,0,9.4,AR,1599929981
94,broome,42.25,-75.83,67.19,69.01,68,75,10.29,US,1599929981
95,jijiga,9.35,42.8,68.58,68.58,67,71,3.74,ET,1599929981
96,upernavik,72.79,-56.15,32.2,32.2,85,0,6.93,GL,1599929982
97,lebu,-37.62,-73.65,52.99,52.99,74,72,9.53,CL,1599929982
98,rorvik,64.86,11.24,53.28,53.28,72,99,26.46,NO,1599929982
99,koping,59.51,15.99,57.06,57.99,71,84,16.11,SE,1599929983
100,georgetown,5.41,100.34,76.15,77.0,94,40,2.24,MY,1599929929
101,poso,-1.4,120.75,78.13,78.13,74,52,3.87,ID,1599929945
102,dikson,73.51,80.55,47.28,47.28,87,83,21.99,RU,1599929983
103,hovd,48.01,91.64,44.78,44.78,54,0,2.75,MN,1599929984
104,carutapera,-1.2,-46.02,87.28,87.28,62,35,9.22,BR,1599929984
105,barrow,71.29,-156.79,32.0,32.0,92,90,9.17,US,1599929827
106,nipawin,53.37,-104.0,51.8,51.8,62,75,21.92,CA,1599929985
107,longyearbyen,78.22,15.64,39.2,39.2,86,75,5.82,SJ,1599929985
108,flin flon,54.77,-101.86,50.0,50.0,61,75,18.34,CA,1599929986
109,mandan,46.83,-100.89,63.81,64.99,68,1,8.05,US,1599929986
110,kokuy,52.2,117.55,49.69,49.69,85,95,3.11,RU,1599929987
111,saskylakh,71.92,114.08,41.2,41.2,79,50,3.62,RU,1599929987
112,saint-philippe,-21.36,55.77,65.91,71.6,78,35,11.41,RE,1599929988
113,chuy,-33.7,-53.46,57.15,57.15,56,78,7.65,UY,1599929988
114,galesong,-5.32,119.37,77.0,77.0,57,20,2.24,ID,1599929988
115,caravelas,-17.71,-39.25,80.13,80.13,56,0,8.52,BR,1599929989
116,yantal,56.85,105.25,47.14,47.14,86,100,7.34,RU,1599929989
117,hasaki,35.73,140.83,71.35,72.0,100,75,5.82,JP,1599929989
118,santa catarina,-27.0,-50.0,87.84,87.84,41,65,3.4,BR,1599929990
119,taoudenni,22.68,-3.98,106.2,106.2,14,68,15.08,ML,1599929990
120,alyangula,-13.85,136.42,66.2,66.2,93,55,4.63,AU,1599929990
121,vila velha,-20.33,-40.29,81.57,82.4,58,55,17.22,BR,1599929918
122,new norfolk,-42.78,147.06,40.93,43.0,78,60,2.93,AU,1599929991
123,victoria,22.29,114.16,80.29,80.6,88,40,5.82,HK,1599929724
124,flinders,-34.58,150.86,53.01,53.01,85,52,1.01,AU,1599929991
125,tual,-5.67,132.75,79.07,79.07,83,49,18.72,ID,1599929991
126,malindi,-3.22,40.12,76.57,76.57,82,3,16.46,KE,1599929992
127,mutsu,41.29,141.22,64.72,66.0,93,75,20.8,JP,1599929992
128,panama city,8.99,-79.52,84.27,86.0,79,40,6.93,PA,1599929986
129,east london,-33.02,27.91,68.0,68.0,77,20,13.87,ZA,1599929717
130,santos dumont,-21.46,-43.55,84.2,84.2,23,91,8.05,BR,1599929993
131,brae,60.4,-1.35,53.6,53.6,76,17,28.86,GB,1599929993
132,hay river,60.82,-115.8,44.6,44.6,87,20,3.36,CA,1599929993
133,taksimo,56.34,114.88,53.02,53.02,83,87,1.95,RU,1599929994
134,the valley,18.22,-63.06,86.81,87.8,62,40,9.17,AI,1599929995
135,havoysund,71.0,24.66,50.0,50.0,76,95,5.82,NO,1599929995
136,tasiilaq,65.61,-37.64,37.4,37.4,59,75,3.36,GL,1599929995
137,nador,35.17,-2.93,79.63,80.6,74,41,8.05,MA,1599929996
138,peniche,39.36,-9.38,81.43,89.01,65,100,4.0,PT,1599929996
139,namatanai,-3.67,152.43,79.57,79.57,85,13,7.2,PG,1599929996
140,rio gallegos,-51.62,-69.22,46.4,46.4,28,75,12.75,AR,1599929744
141,fortuna,40.6,-124.16,54.73,55.99,100,40,5.28,US,1599929758
142,grindavik,63.84,-22.43,51.8,51.8,66,75,6.93,IS,1599929997
143,alugan,12.22,125.48,81.28,81.28,80,100,2.71,PH,1599929997
144,kemijarvi,66.71,27.43,45.75,45.75,95,100,4.32,FI,1599929997
145,antofagasta,-23.65,-70.4,62.6,62.6,63,20,11.41,CL,1599929998
146,westport,41.14,-73.36,67.86,70.0,49,1,16.11,US,1599929998
147,hue,16.47,107.6,80.6,80.6,83,20,2.24,VN,1599929998
148,mmabatho,-25.85,25.63,75.2,75.2,19,0,11.41,ZA,1599929998
149,cape town,-33.93,18.42,63.97,66.99,72,25,11.41,ZA,1599929814
150,itapora,-22.08,-54.79,102.31,102.31,10,0,7.74,BR,1599929999
151,hofn,64.25,-15.21,48.92,48.92,66,10,12.12,IS,1599930000
152,portland,45.52,-122.68,52.03,53.6,93,90,0.78,US,1599929710
153,yarmouth,41.71,-70.23,67.03,68.0,45,1,10.29,US,1599929954
154,alofi,-19.06,-169.92,73.4,73.4,88,95,8.05,NU,1599930000
155,severo-kurilsk,50.68,156.12,49.62,49.62,86,78,19.46,RU,1599930003
156,cidreira,-30.18,-50.21,63.45,63.45,93,100,9.35,BR,1599930006
157,poum,-20.23,164.02,71.15,71.15,76,0,16.8,NC,1599930007
158,moses lake,47.13,-119.28,59.54,62.6,50,90,4.7,US,1599930009
159,dunedin,-45.87,170.5,52.11,53.01,50,100,4.27,NZ,1599930009
160,komsomolskiy,40.43,71.72,69.8,69.8,35,0,4.7,UZ,1599930010
161,quatre cocos,-20.21,57.76,70.23,71.6,88,40,6.93,MU,1599930011
162,esmeraldas,-19.76,-44.31,85.41,87.8,35,40,8.05,BR,1599930011
163,cherskiy,68.75,161.3,38.68,38.68,82,42,3.0,RU,1599930012
164,saldanha,-33.01,17.94,66.2,66.2,63,0,6.93,ZA,1599930013
165,rawson,-43.3,-65.1,59.25,59.25,32,5,23.26,AR,1599930013
166,tilichiki,60.47,166.1,41.13,41.13,85,100,13.33,RU,1599930014
167,layou,13.2,-61.27,87.8,87.8,66,20,3.36,VC,1599930015
168,mount gambier,-37.83,140.77,44.6,44.6,100,40,5.82,AU,1599930015
169,algiers,36.75,3.04,82.4,82.4,61,40,9.17,DZ,1599929953
170,guerrero negro,27.98,-114.06,83.73,83.73,37,0,8.39,MX,1599930016
171,vaini,-21.2,-175.2,68.0,68.0,68,35,8.05,TO,1599930016
172,pevek,69.7,170.31,41.99,41.99,85,0,4.79,RU,1599930017
173,sao joao da barra,-21.64,-41.05,84.2,84.2,54,32,18.34,BR,1599930018
174,talcahuano,-36.72,-73.12,55.4,55.4,71,75,9.17,CL,1599930018
175,vilcun,-38.65,-72.23,48.51,50.0,87,90,6.93,CL,1599930018
176,takoradi,4.88,-1.76,79.02,79.02,79,20,12.88,GH,1599930019
177,fillmore,43.67,-92.1,61.83,64.0,82,90,8.05,US,1599930020
178,grenada,37.19,-3.61,91.06,93.2,20,56,8.05,ES,1599930020
179,tuensang,26.28,94.83,71.76,71.76,84,95,1.54,IN,1599930021
180,kodiak,57.79,-152.41,42.8,42.8,70,1,4.7,US,1599930022
181,roma,43.21,-75.46,68.56,70.0,52,1,9.17,US,1599929765
182,diego de almagro,-26.37,-70.05,78.17,78.17,20,0,11.45,CL,1599930023
183,yeniseysk,58.45,92.17,44.91,44.91,92,0,1.92,RU,1599930023
184,ponta do sol,32.67,-17.1,72.1,77.0,73,40,4.7,PT,1599930024
185,honiara,-9.43,159.95,75.2,75.2,100,20,3.36,SB,1599930024
186,bengkulu,-3.8,102.27,75.58,75.58,89,37,3.47,ID,1599930025
187,strezhevoy,60.73,77.59,57.2,57.2,67,98,11.18,RU,1599930026
188,freeport,40.66,-73.58,69.93,72.0,56,40,11.41,US,1599930027
189,anaconda,46.13,-112.94,58.48,62.01,43,1,3.53,US,1599930027
190,port-cartier,50.03,-66.87,59.83,60.8,41,20,12.75,CA,1599930027
191,iwanai,42.97,140.51,61.57,61.57,91,100,4.09,JP,1599930028
192,virginia beach,36.85,-75.98,77.23,78.01,67,93,4.0,US,1599929483
193,marilandia,-19.41,-40.54,89.19,89.19,30,18,7.07,BR,1599930029
194,penzance,50.12,-5.54,62.62,64.99,82,20,10.29,GB,1599930030
195,yellowknife,62.46,-114.35,42.57,43.0,81,20,4.7,CA,1599929881
196,codrington,-38.27,141.97,47.26,47.26,88,69,5.84,AU,1599930030
197,karabulak,43.3,44.9,68.0,68.0,72,0,6.71,RU,1599930030
198,skovorodino,53.98,123.92,54.37,54.37,90,39,2.82,RU,1599930031
199,akureyri,65.68,-18.09,44.6,44.6,75,75,17.22,IS,1599930032
200,la rioja,42.25,-2.5,87.8,87.8,27,0,3.36,ES,1599930032
201,vila franca do campo,37.72,-25.43,75.2,75.2,64,20,11.41,PT,1599930033
202,norman wells,65.28,-126.83,39.2,39.2,86,75,19.46,CA,1599930033
203,mount isa,-20.73,139.5,73.4,73.4,28,0,3.36,AU,1599929921
204,nong khae,14.34,100.87,82.65,84.0,88,76,4.79,TH,1599930033
205,abu dhabi,24.47,54.37,93.97,95.0,79,68,11.41,AE,1599929873
206,petropavlovsk-kamchatskiy,53.05,158.65,41.0,41.0,100,19,8.95,RU,1599930034
207,tullow,52.8,-6.74,61.3,63.0,77,63,5.99,IE,1599930035
208,lagoa,39.05,-27.98,70.61,70.61,74,0,4.54,PT,1599930035
209,aklavik,68.22,-135.01,32.0,32.0,87,75,13.87,CA,1599930036
210,akdepe,42.06,59.38,70.74,73.4,33,0,4.7,TM,1599930036
211,san vicente,-26.62,-54.13,96.04,96.04,17,66,9.71,AR,1599930036
212,hargeysa,9.56,44.06,77.0,77.0,51,57,8.97,SO,1599930037
213,shache,38.42,77.24,72.54,72.54,28,16,12.15,CN,1599930037
214,mar del plata,-38.0,-57.56,62.6,62.6,36,0,18.34,AR,1599929964
215,lincoln,40.8,-96.67,65.44,66.99,68,40,10.25,US,1599930038
216,ixtapa,20.7,-105.2,82.4,82.4,78,75,4.7,MX,1599930038
217,ippy,6.27,21.22,68.86,68.86,98,100,2.59,CF,1599930038
218,channel-port aux basques,47.57,-59.14,59.25,59.25,65,2,15.79,CA,1599930038
219,iralaya,15.0,-83.23,87.8,87.8,74,20,6.46,HN,1599930039
220,nikolskoye,59.7,30.79,55.81,55.99,82,40,8.95,RU,1599930039
221,banda aceh,5.56,95.32,79.81,79.81,68,100,2.53,ID,1599930039
222,nyurba,63.28,118.33,45.93,45.93,93,100,4.45,RU,1599930040
223,iquitos,-3.75,-73.25,87.8,87.8,66,40,4.7,PE,1599929798
224,san patricio,19.22,-104.7,87.8,87.8,66,20,9.17,MX,1599930040
225,gardenstown,57.67,-2.34,57.0,57.0,59,80,21.0,GB,1599930041
226,port macquarie,-31.43,152.92,47.98,48.99,97,5,8.81,AU,1599930041
227,majene,-3.54,118.97,78.04,78.04,83,100,13.0,ID,1599930042
228,matara,5.95,80.54,77.97,77.97,90,97,9.1,LK,1599930043
229,vilhena,-12.74,-60.15,91.4,91.4,41,73,3.36,BR,1599930043
230,saint anthony,45.02,-93.22,60.35,62.01,82,90,5.82,US,1599930044
231,neiafu,-18.65,-173.98,73.4,73.4,78,75,5.82,TO,1599930044
232,sola,-13.88,167.55,79.63,79.63,83,66,20.94,VU,1599930045
233,kirakira,-10.45,161.92,78.49,78.49,84,5,8.05,SB,1599930046
234,kavieng,-2.57,150.8,82.58,82.58,80,38,14.58,PG,1599930046
235,jalu,29.03,21.55,90.25,90.25,20,0,8.19,LY,1599930047
236,shimoda,34.67,138.95,69.01,69.01,96,3,6.69,JP,1599930047
237,okato,-39.2,173.88,47.05,48.0,67,77,15.99,NZ,1599930048
238,basco,20.45,121.97,84.67,84.67,79,81,11.79,PH,1599930048
239,hithadhoo,-0.6,73.08,81.95,81.95,77,22,9.78,MV,1599930049
240,komyshuvakha,47.72,35.53,69.4,69.8,22,0,6.71,UA,1599930049
241,tessalit,20.2,1.01,105.24,105.24,8,49,4.92,ML,1599930050
242,ongandjera,-17.88,15.07,76.1,76.1,18,0,5.73,NA,1599930050
243,ballina,-28.87,153.57,52.74,55.4,93,40,6.93,AU,1599930050
244,novyy urengoy,66.08,76.63,57.36,57.36,63,70,14.61,RU,1599930051
245,sorong,-0.88,131.25,78.44,78.44,88,100,12.01,ID,1599930051
246,grand gaube,-20.01,57.66,69.01,69.01,84,0,4.0,MU,1599930051
247,sakakah,29.97,40.21,102.2,102.2,12,36,2.46,SA,1599929763
248,pisco,-13.7,-76.22,62.76,63.0,82,75,9.17,PE,1599930052
249,kashi,39.45,75.98,68.0,68.0,45,20,8.95,CN,1599930052
250,zhigansk,66.77,123.37,43.83,43.83,94,93,1.34,RU,1599930052
251,christchurch,-43.53,172.63,40.01,44.01,100,76,3.36,NZ,1599929819
252,porbandar,21.64,69.61,82.85,82.85,79,94,11.43,IN,1599929781
253,xai-xai,-25.05,33.64,67.95,67.95,80,0,8.32,MZ,1599930053
254,boralday,43.36,76.86,60.8,60.8,51,75,2.24,KZ,1599930053
255,clyde river,70.47,-68.59,42.8,42.8,56,75,3.36,CA,1599930054
256,isangel,-19.55,169.27,69.08,69.08,80,100,13.85,VU,1599930054
257,cachoeiras de macacu,-22.46,-42.65,87.13,87.8,55,64,20.8,BR,1599929811
258,tuktoyaktuk,69.45,-133.04,30.2,30.2,80,90,17.22,CA,1599930056
259,xique-xique,-10.82,-42.73,88.86,88.86,29,0,8.57,BR,1599930057
260,ostrovnoy,68.05,39.51,47.79,47.79,69,100,18.05,RU,1599930057
261,mangan,27.52,88.53,75.99,75.99,58,98,0.51,IN,1599930058
262,saint-jean-de-maurienne,45.17,6.58,66.0,66.0,61,44,1.01,FR,1599930058
263,santa vitoria do palmar,-33.52,-53.37,58.24,58.24,56,95,8.25,BR,1599930058
264,padang,-0.95,100.35,78.04,78.04,76,96,3.78,ID,1599930058
265,french harbor,16.35,-86.43,84.2,84.2,74,75,4.7,HN,1599930059
266,cabo san lucas,22.89,-109.91,86.81,89.01,70,5,9.17,MX,1599930060
267,kang,-23.68,22.79,70.39,70.39,22,0,7.49,BW,1599930061
268,muchkapskiy,51.85,42.47,55.26,55.26,58,0,4.34,RU,1599930061
269,dong hoi,17.48,106.6,82.35,82.35,79,85,5.37,VN,1599930062
270,leshukonskoye,64.9,45.76,46.22,46.22,90,100,5.53,RU,1599930063
271,murmashi,68.82,32.81,48.2,48.2,81,20,6.71,RU,1599930063
272,curup,-3.47,102.53,68.11,68.11,92,82,1.03,ID,1599930063
273,abu samrah,35.3,37.18,83.19,83.19,38,0,7.87,SY,1599930064
274,ilhabela,-23.78,-45.36,86.04,86.04,48,33,5.21,BR,1599930064
275,praia da vitoria,38.73,-27.07,73.4,73.4,69,20,3.42,PT,1599930065
276,bathsheba,13.22,-59.52,89.6,89.6,62,20,10.29,BB,1599930065
277,ko samui,9.54,99.94,84.94,84.94,68,24,2.84,TH,1599929915
278,elko,41.0,-115.5,63.12,70.0,22,1,2.62,US,1599930067
279,kenai,60.55,-151.26,28.4,28.4,86,1,4.65,US,1599930067
280,enshi,30.3,109.48,64.99,64.99,86,100,1.61,CN,1599930068
281,gat,31.61,34.76,84.18,87.01,32,0,8.93,IL,1599929821
282,kaniama,-7.57,24.18,80.78,80.78,24,0,3.04,CD,1599930068
283,coihaique,-45.58,-72.07,42.8,42.8,74,40,6.93,CL,1599930069
284,mareeba,-17.0,145.43,64.15,69.8,73,5,8.05,AU,1599930069
285,lobito,-12.35,13.55,72.21,72.21,80,27,7.36,AO,1599930069
